game_id,date,home_team,away_team,home_pitcher,away_pitcher,home_pitcher_era,home_pitcher_k9,away_pitcher_era,away_pitcher_k9,yrfi
661405,2022-04-19,Miami Marlins,St. Louis Cardinals,Jesús Luzardo,Adam Wainwright,1.862068965517241,13.965517241379308,3.483870967741936,11.322580645161292,0
662161,2022-04-19,Seattle Mariners,Texas Rangers,Robbie Ray,Jon Gray,3.857142857142858,7.012987012987014,4.5,11.25,1
662232,2022-04-19,San Diego Padres,Cincinnati Reds,Joe Musgrove,Reiver Sanmartin,3.7058823529411766,9.529411764705884,6.136363636363636,4.909090909090908,1
662350,2022-04-19,New York Mets,San Francisco Giants,Tylor Megill,Alex Cobb,0.0,9.580645161290324,3.0,16.0,1
662406,2022-04-19,Oakland Athletics,Baltimore Orioles,Cole Irvin,Chris Ellis,6.1875,6.1875,0.0,18.0,1
662583,2022-04-19,Washington Nationals,Arizona Diamondbacks,Joan Adon,Tyler Gilbert,9.000000000000002,9.000000000000002,11.25,6.75,0
662717,2022-04-19,Los Angeles Dodgers,Atlanta Braves,Walker Buehler,Max Fried,5.170212765957447,7.468085106382978,7.199999999999998,7.199999999999998,0
662753,2022-04-19,Kansas City Royals,Minnesota Twins,Carlos Hernández,Chris Archer,10.285714285714285,5.142857142857142,4.05,5.3999999999999995,0
662896,2022-04-19,Detroit Tigers,New York Yankees,Tyler Alexander,Gerrit Cole,2.8928571428571432,8.67857142857143,5.294117647058823,9.0,1
662925,2022-04-19,Colorado Rockies,Philadelphia Phillies,Kyle Freeland,Kyle Gibson,6.279069767441861,5.651162790697675,3.1153846153846154,10.384615384615383,1
662927,2022-04-19,Houston Astros,Los Angeles Angels,Framber Valdez,Patrick Sandoval,0.9310344827586206,8.379310344827585,2.0769230769230766,11.423076923076923,0
663075,2022-04-19,Cleveland Guardians,Chicago White Sox,Shane Bieber,Dallas Keuchel,2.4352941176470586,8.470588235294118,9.310344827586206,8.379310344827585,1
663196,2022-04-19,Chicago Cubs,Tampa Bay Rays,Justin Steele,Matt Wisler,1.9285714285714288,8.67857142857143,1.2857142857142858,11.571428571428575,0
663249,2022-04-19,Boston Red Sox,Toronto Blue Jays,Nathan Eovaldi,Yusei Kikuchi,4.790322580645161,11.758064516129032,3.8571428571428568,9.0,0
661203,2022-04-20,Milwaukee Brewers,Pittsburgh Pirates,Brandon Woodruff,Mitch Keller,7.2439024390243905,5.926829268292683,9.529411764705882,10.323529411764705,0
661404,2022-04-20,Miami Marlins,St. Louis Cardinals,Sandy Alcantara,Miles Mikolas,3.1764705882352944,7.147058823529411,2.204081632653061,4.959183673469387,0
662178,2022-04-20,Seattle Mariners,Texas Rangers,Logan Gilbert,Dane Dunning,2.025,10.125,8.4375,10.96875,0
662231,2022-04-20,San Diego Padres,Cincinnati Reds,MacKenzie Gore,Vladimir Gutierrez,6.48,8.640000000000002,6.5675675675675675,6.5675675675675675,0
662349,2022-04-20,New York Mets,San Francisco Giants,Chris Bassitt,Carlos Rodón,2.1176470588235294,10.588235294117647,1.5,15.75,1
662392,2022-04-20,Oakland Athletics,Baltimore Orioles,Daulton Jefferies,Jordan Lyles,3.4615384615384617,3.4615384615384617,4.695652173913043,4.695652173913043,0
662560,2022-04-20,Washington Nationals,Arizona Diamondbacks,Erick Fedde,Merrill Kelly,2.454545454545454,9.818181818181817,0.0,12.15,0
662703,2022-04-20,Kansas City Royals,Minnesota Twins,Daniel Lynch IV,Chris Paddack,8.379310344827585,8.379310344827585,7.7142857142857135,10.285714285714285,1
662734,2022-04-20,Los Angeles Dodgers,Atlanta Braves,Tony Gonsolin,Charlie Morton,3.272727272727273,8.181818181818182,6.096774193548388,8.70967741935484,1
662861,2022-04-20,Detroit Tigers,New York Yankees,Eduardo Rodriguez,Luis Severino,4.973684210526316,10.657894736842106,1.5,10.5,0
